,,,,,,,,,,,,,,,,,,,,,
Location,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
            Sudan,   6 339,   5 790,   5 323,   4 801,   4 159,   3 468,   2 799,   2 404,   2 027,   1 700,   1 425,   1 128,875,661,455,278,143,56,15,3,0
            Tunisia,   1 004,   1 014,853,787,821,904,928,986,847,726,711,650,539,424,250,174,120,62,16,3,0
            Western Sahara,56,56,50,49,50,55,56,53,46,37,29,23,18,11,5,3,1,0,0,0,0
         Western Asia,   26 975,   26 813,   24 812,   22 893,   22 891,   24 192,   24 258,   22 101,   19 484,   16 388,   13 269,   10 863,   8 345,   6 351,   4 197,   2 812,   1 811,871,262,45,4
            Armenia,205,214,198,170,176,232,267,237,191,162,163,199,197,131,84,42,59,22,9,1,0
            Azerbaijan,825,861,698,637,719,890,941,825,664,617,628,653,497,308,152,91,88,35,9,1,0
            Bahrain,108,110,93,89,92,215,293,214,148,108,81,59,45,21,11,7,4,1,1,0,0
            Cyprus,65,68,68,74,93,98,96,92,87,79,76,72,65,55,46,33,23,11,4,1,0
            Georgia,268,285,253,218,233,267,290,275,264,254,246,278,249,211,150,98,96,37,14,2,0
            Iraq,   5 380,   5 230,   4 559,   4 152,   3 800,   3 366,   2 927,   2 476,   2 150,   1 787,   1 415,926,670,623,332,242,127,48,12,2,0
            Israel,848,823,738,667,624,573,565,558,544,497,418,378,350,354,289,171,124,84,40,12,1
            Jordan,   1 058,   1 154,   1 140,   1 040,940,862,777,713,607,535,433,322,217,149,112,79,43,16,4,0,0
            Kuwait,290,319,308,225,207,238,366,512,515,451,347,214,149,71,32,16,8,2,0,0,0
            Lebanon,566,586,559,576,593,583,522,488,453,410,390,334,249,198,131,80,63,33,8,1,0
            Oman,454,379,316,215,329,756,868,572,400,285,182,134,90,53,28,25,13,6,2,1,0
            Qatar,135,135,122,106,237,480,495,351,255,207,156,99,54,28,13,4,2,1,1,0,0
            Saudi Arabia,   2 978,   2 978,   2 641,   2 219,   2 333,   3 022,   3 438,   3 542,   3 578,   2 831,   1 892,   1 325,819,555,293,201,106,45,15,3,0
            State of Palestine,693,672,592,517,499,467,370,294,247,201,167,130,88,64,48,29,15,5,1,0,0
            Syria,   1 919,   1 717,   1 750,   1 575,   1 604,   1 496,   1 521,   1 386,   1 095,834,689,596,465,357,209,146,85,42,12,2,0
            Turkey,   6 567,   6 852,   6 773,   6 822,   6 770,   6 404,   6 395,   6 380,   6 008,   5 439,   4 755,   4 153,   3 446,   2 746,   1 970,   1 383,877,453,125,18,1
            United Arab Emirates,499,513,453,390,716,   1 434,   1 796,   1 374,916,692,457,341,186,57,36,20,7,4,1,0,0
