Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Germany,51,9,3/11/2020,3,DEU,150,155,
,Germany,51,9,3/10/2020,2,DEU,150,155,
,Germany,51,9,3/9/2020,2,DEU,150,155,
,Germany,51,9,3/8/2020,0,DEU,150,155,
,Germany,51,9,3/7/2020,0,DEU,150,155,
,Germany,51,9,3/6/2020,0,DEU,150,155,
,Germany,51,9,3/5/2020,0,DEU,150,155,
,Germany,51,9,3/4/2020,0,DEU,150,155,
,Germany,51,9,3/3/2020,0,DEU,150,155,
,Germany,51,9,3/2/2020,0,DEU,150,155,
,Germany,51,9,3/1/2020,0,DEU,150,155,
,Germany,51,9,2/29/2020,0,DEU,150,155,
,Germany,51,9,2/28/2020,0,DEU,150,155,
,Germany,51,9,2/27/2020,0,DEU,150,155,
,Germany,51,9,2/26/2020,0,DEU,150,155,
,Germany,51,9,2/25/2020,0,DEU,150,155,
,Germany,51,9,2/24/2020,0,DEU,150,155,
,Germany,51,9,2/23/2020,0,DEU,150,155,
,Germany,51,9,2/22/2020,0,DEU,150,155,
,Germany,51,9,2/21/2020,0,DEU,150,155,
,Germany,51,9,2/20/2020,0,DEU,150,155,
,Germany,51,9,2/19/2020,0,DEU,150,155,
,Germany,51,9,2/18/2020,0,DEU,150,155,
,Germany,51,9,2/17/2020,0,DEU,150,155,
,Germany,51,9,2/16/2020,0,DEU,150,155,
,Germany,51,9,2/15/2020,0,DEU,150,155,
,Germany,51,9,2/14/2020,0,DEU,150,155,
,Germany,51,9,2/13/2020,0,DEU,150,155,
,Germany,51,9,2/12/2020,0,DEU,150,155,
,Germany,51,9,2/11/2020,0,DEU,150,155,
,Germany,51,9,2/10/2020,0,DEU,150,155,
,Germany,51,9,2/9/2020,0,DEU,150,155,
,Germany,51,9,2/8/2020,0,DEU,150,155,
,Germany,51,9,2/7/2020,0,DEU,150,155,
,Germany,51,9,2/6/2020,0,DEU,150,155,
,Germany,51,9,2/5/2020,0,DEU,150,155,
,Germany,51,9,2/4/2020,0,DEU,150,155,
,Germany,51,9,2/3/2020,0,DEU,150,155,
,Germany,51,9,2/2/2020,0,DEU,150,155,
,Germany,51,9,2/1/2020,0,DEU,150,155,
,Germany,51,9,1/31/2020,0,DEU,150,155,
,Germany,51,9,1/30/2020,0,DEU,150,155,
,Germany,51,9,1/29/2020,0,DEU,150,155,
,Germany,51,9,1/28/2020,0,DEU,150,155,
,Germany,51,9,1/27/2020,0,DEU,150,155,
,Germany,51,9,1/26/2020,0,DEU,150,155,
,Germany,51,9,1/25/2020,0,DEU,150,155,
,Germany,51,9,1/24/2020,0,DEU,150,155,
,Germany,51,9,1/23/2020,0,DEU,150,155,
,Germany,51,9,1/22/2020,0,DEU,150,155,
,Italy,43,12,4/26/2020,26644,ITA,150,39,
,Italy,43,12,4/25/2020,26384,ITA,150,39,
,Italy,43,12,4/24/2020,25969,ITA,150,39,
,Italy,43,12,4/23/2020,25549,ITA,150,39,
,Italy,43,12,4/22/2020,25085,ITA,150,39,
,Italy,43,12,4/21/2020,24648,ITA,150,39,
,Italy,43,12,4/20/2020,24114,ITA,150,39,
,Italy,43,12,4/19/2020,23660,ITA,150,39,
,Italy,43,12,4/18/2020,23227,ITA,150,39,
,Italy,43,12,4/17/2020,22745,ITA,150,39,
,Italy,43,12,4/16/2020,22170,ITA,150,39,
,Italy,43,12,4/15/2020,21645,ITA,150,39,
,Italy,43,12,4/14/2020,21067,ITA,150,39,
,Italy,43,12,4/13/2020,20465,ITA,150,39,
,Italy,43,12,4/12/2020,19899,ITA,150,39,
,Italy,43,12,4/11/2020,19468,ITA,150,39,
